,no_bairro_residencia,co_bairro_residencia,casos,co_uf_notificacao,latitude,longitude
43,CASA FORTE,44,131,2015,-8.033565,-34.918972
44,SANTANA,45,34,2015,-8.040554,-34.915802
45,PARNAMIRIM,46,40,2015,-8.033436,-34.910388
46,POCO,47,71,2015,-8.035300999999999,-34.92445900000001
47,MONTEIRO,48,116,2015,-8.025561999999999,-34.929957
48,ALTO DO MANDU,49,176,2015,-8.022468,-34.927362
49,APIPUCOS,50,62,2015,-8.019751,-34.935721
50,MANGABEIRA,51,212,2015,-8.024122,-34.903116
51,ALTO JOSE DO PINHO,52,418,2015,-8.0231,-34.907943
52,MORRO DA CONCEICAO,53,325,2015,-8.019607,-34.914148
53,ALTO JOSE BONIFACIO,54,278,2015,-8.013323,-34.913209
54,VASCO DA GAMA,55,777,2015,-8.014012,-34.918771
55,NOVA DESCOBERTA,56,852,2015,-7.999642999999999,-34.928185
56,BREJO DE BEBERIBE,57,86,2015,-7.9990679999999985,-34.923817
57,MACAXEIRA,58,464,2015,-8.013219,-34.929191
58,DOIS IRMAOS,59,225,2015,-8.016205000000001,-34.945227
59,SITIO DOS PINTOS,60,57,2015,-8.013121,-34.958253000000006
60,BREJO DA GUABIRABA,61,174,2015,-7.992955999999999,-34.932724
61,CORREGO DO JENIPAPO,62,310,2015,-8.006592999999999,-34.935516
62,PAU FERRO,63,1,2015,-7.969189999999997,-34.903029
63,MADALENA,64,694,2015,-8.053617,-34.908751
64,TORRE,65,339,2015,-8.045102,-34.909890999999995
65,PRADO,66,305,2015,-8.061247999999999,-34.912754
66,ZUMBI,67,132,2015,-8.05297,-34.916813
67,CORDEIRO,68,721,2015,-8.047963000000001,-34.928419
68,IPUTINGA,69,1085,2015,-8.036721,-34.935334999999995
69,TORROES,70,556,2015,-8.059511,-34.935967
70,ENGENHO DO MEIO,71,183,2015,-8.056532,-34.943762
71,CIDADE UNIVERSITARIA,72,37,2015,-8.052783999999999,-34.951508000000004
72,VARZEA,73,1175,2015,-8.048963,-34.975789
73,CAXANGA,74,181,2015,-8.026064,-34.952701
74,CURADO,75,77,2015,-8.071307000000001,-34.953931
75,ILHA DO RETIRO,76,80,2015,-8.064894,-34.905172
76,AFOGADOS,77,1211,2015,-8.077067,-34.909214
77,MUSTARDINHA,78,289,2015,-8.070677,-34.919719
78,MANGUEIRA,79,217,2015,-8.076649,-34.921026
79,BONGI,80,109,2015,-8.065056,-34.920541
80,SAN MARTIN,81,262,2015,-8.070967,-34.92876
81,JIQUIA,82,154,2015,-8.086136999999999,-34.924493
82,ESTANCIA,83,377,2015,-8.083327,-34.929986
83,CACOTE,84,83,2015,-8.101693,-34.931614
84,AREIAS,85,772,2015,-8.093277,-34.931612
85,JARDIM SAO PAULO,86,670,2015,-8.080888999999999,-34.943231
86,BARRO,87,371,2015,-8.097292999999999,-34.955087
87,COHAB,88,3084,2015,-8.118488000000001,-34.954687
88,TEJIPIO,89,109,2015,-8.089542,-34.960286
89,SANCHO,90,74,2015,-8.084928999999999,-34.960321
90,TOTO,91,54,2015,-8.082498,-34.967886
91,COQUEIRAL,92,102,2015,-8.086464,-34.968576
92,PONTO DE PARADA,93,65,2015,-8.029686,-34.893442
93,ALTO SANTA TEREZINHA,94,83,2015,-8.016653999999999,-34.908599
