,codigo,bairro,casos,ano,latitude,longitude
46,47,POCO,2.0,2014,-8.035300999999999,-34.92445900000001
47,48,MONTEIRO,0.0,2014,-8.025561999999999,-34.929957
48,49,ALTO DO MANDU,5.0,2014,-8.022468,-34.927362
49,50,APIPUCOS,3.0,2014,-8.019751,-34.935721
50,51,MANGABEIRA,8.0,2014,-8.024122,-34.903116
51,52,ALTO JOSE DO PINHO,10.0,2014,-8.0231,-34.907943
52,53,MORRO DA CONCEICAO,4.0,2014,-8.019607,-34.914148
53,54,ALTO JOSE BONIFACIO,9.0,2014,-8.013323,-34.913209
54,55,VASCO DA GAMA,29.0,2014,-8.014012,-34.918771
55,56,NOVA DESCOBERTA,43.0,2014,-7.999642999999999,-34.928185
56,57,BREJO DE BEBERIBE,13.0,2014,-7.9990679999999985,-34.923817
57,58,MACAXEIRA,24.0,2014,-8.013219,-34.929191
58,59,DOIS IRMAOS,11.0,2014,-8.016205000000001,-34.945227
59,60,SITIO DOS PINTOS,4.0,2014,-8.013121,-34.958253000000006
60,61,BREJO DA GUABIRABA,5.0,2014,-7.992955999999999,-34.932724
61,62,CORREGO DO JENIPAPO,5.0,2014,-8.006592999999999,-34.935516
62,63,PAU FERRO,0.0,2014,-7.969189999999997,-34.903029
63,64,MADALENA,27.0,2014,-8.053617,-34.908751
64,65,TORRE,15.0,2014,-8.045102,-34.909890999999995
65,66,PRADO,5.0,2014,-8.061247999999999,-34.912754
66,67,ZUMBI,4.0,2014,-8.05297,-34.916813
67,68,CORDEIRO,23.0,2014,-8.047963000000001,-34.928419
68,69,IPUTINGA,37.0,2014,-8.036721,-34.935334999999995
69,70,TORROES,26.0,2014,-8.059511,-34.935967
70,71,ENGENHO DO MEIO,9.0,2014,-8.056532,-34.943762
71,72,CIDADE UNIVERSITARIA,1.0,2014,-8.052783999999999,-34.951508000000004
72,73,VARZEA,36.0,2014,-8.048963,-34.975789
73,74,CAXANGA,7.0,2014,-8.026064,-34.952701
74,75,CURADO,4.0,2014,-8.071307000000001,-34.953931
75,76,ILHA DO RETIRO,3.0,2014,-8.064894,-34.905172
76,77,AFOGADOS,8.0,2014,-8.077067,-34.909214
77,78,MUSTARDINHA,8.0,2014,-8.070677,-34.919719
78,79,MANGUEIRA,4.0,2014,-8.076649,-34.921026
79,80,BONGI,3.0,2014,-8.065056,-34.920541
80,81,SAN MARTIN,18.0,2014,-8.070967,-34.92876
81,82,JIQUIA,12.0,2014,-8.086136999999999,-34.924493
82,83,ESTANCIA,3.0,2014,-8.083327,-34.929986
83,84,CACOTE,0.0,2014,-8.101693,-34.931614
84,85,AREIAS,17.0,2014,-8.093277,-34.931612
85,86,JARDIM SAO PAULO,29.0,2014,-8.080888999999999,-34.943231
86,87,BARRO,12.0,2014,-8.097292999999999,-34.955087
87,88,COHAB,59.0,2014,-8.118488000000001,-34.954687
88,89,TEJIPIO,16.0,2014,-8.089542,-34.960286
89,90,SANCHO,7.0,2014,-8.084928999999999,-34.960321
90,91,TOTO,2.0,2014,-8.082498,-34.967886
91,92,COQUEIRAL,4.0,2014,-8.086464,-34.968576
92,93,PONTO DE PARADA,3.0,2014,-8.029686,-34.893442
93,94,ALTO SANTA TEREZINHA,2.0,2014,-8.016653999999999,-34.908599
